Timestamp,Open,High,Low,Close,Volume
2024-01-17 08:00:00,42655.95000000,42655.95000000,42636.93000000,42636.94000000,19.84087000
2024-01-17 08:01:00,42636.94000000,42673.41000000,42636.93000000,42666.01000000,28.66992000
2024-01-17 08:02:00,42666.00000000,42673.40000000,42639.04000000,42655.97000000,29.50351000
2024-01-17 08:03:00,42655.97000000,42655.97000000,42637.99000000,42637.99000000,11.91977000
2024-01-17 08:04:00,42638.00000000,42638.00000000,42621.20000000,42622.00000000,23.90090000
2024-01-17 08:05:00,42622.00000000,42659.44000000,42594.92000000,42598.57000000,72.51973000
2024-01-17 08:06:00,42598.58000000,42624.35000000,42574.00000000,42574.87000000,40.99972000
2024-01-17 08:07:00,42574.88000000,42601.15000000,42564.00000000,42571.98000000,33.63685000
2024-01-17 08:08:00,42571.99000000,42598.70000000,42566.57000000,42597.10000000,25.50924000
2024-01-17 08:09:00,42597.09000000,42599.65000000,42590.01000000,42599.64000000,19.92661000
2024-01-17 08:10:00,42599.64000000,42621.10000000,42588.54000000,42588.54000000,61.32153000
2024-01-17 08:11:00,42588.54000000,42653.74000000,42588.54000000,42651.19000000,17.48801000
2024-01-17 08:12:00,42651.18000000,42678.00000000,42644.87000000,42677.99000000,27.70104000
2024-01-17 08:13:00,42677.99000000,42695.15000000,42676.00000000,42695.14000000,18.07840000
2024-01-17 08:14:00,42695.15000000,42695.15000000,42676.01000000,42676.01000000,17.67955000
2024-01-17 08:15:00,42676.02000000,42676.02000000,42644.87000000,42644.87000000,13.54327000
2024-01-17 08:16:00,42644.88000000,42700.00000000,42640.64000000,42699.99000000,34.51469000
2024-01-17 08:17:00,42699.99000000,42721.69000000,42694.00000000,42717.64000000,24.63173000
2024-01-17 08:18:00,42717.65000000,42726.14000000,42712.00000000,42726.13000000,28.41983000
2024-01-17 08:19:00,42726.13000000,42727.01000000,42692.12000000,42692.13000000,23.30316000
2024-01-17 08:20:00,42692.12000000,42716.72000000,42672.80000000,42715.59000000,34.40035000
2024-01-17 08:21:00,42715.60000000,42742.25000000,42715.59000000,42740.00000000,26.51960000
2024-01-17 08:22:00,42740.01000000,42747.65000000,42737.87000000,42747.03000000,16.19026000
2024-01-17 08:23:00,42747.03000000,42747.03000000,42721.10000000,42731.52000000,17.53195000
2024-01-17 08:24:00,42731.52000000,42731.52000000,42707.68000000,42707.69000000,9.07750000
2024-01-17 08:25:00,42707.69000000,42736.92000000,42707.68000000,42725.00000000,31.08735000
2024-01-17 08:26:00,42725.00000000,42740.00000000,42725.00000000,42740.00000000,12.62307000
2024-01-17 08:27:00,42740.00000000,42740.00000000,42730.01000000,42736.37000000,10.92051000
2024-01-17 08:28:00,42736.37000000,42736.37000000,42710.60000000,42712.75000000,14.16612000
2024-01-17 08:29:00,42712.74000000,42712.75000000,42712.74000000,42712.74000000,7.75270000
2024-01-17 08:30:00,42712.74000000,42712.75000000,42695.51000000,42695.51000000,10.27777000
2024-01-17 08:31:00,42695.51000000,42695.52000000,42680.00000000,42680.01000000,11.49714000
2024-01-17 08:32:00,42680.01000000,42680.01000000,42661.11000000,42665.93000000,23.24818000
2024-01-17 08:33:00,42665.93000000,42675.72000000,42665.92000000,42675.72000000,9.82590000
