Timestamp,Best Bid Price,Best Ask Price,Mid Price,5mins SMA,5mins EMA,25mins SMA,25mins EMA,5mins SMA Crossover,25mins SMA Crossover
2024-01-17 08:00:00,42655.94000000,42655.95000000,42655.945,42657.848000000005,42659.40717552759,42700.36600000001,42687.97377777779,Under,Under
2024-01-17 08:00:01,42655.94000000,42655.20000000,42655.57,42657.848000000005,42659.40717552759,42700.36600000001,42687.97377777779,Under,Under
2024-01-17 08:00:02,42655.19000000,42655.20000000,42655.195,42657.848000000005,42659.40717552759,42700.36600000001,42687.97377777779,Under,Under
2024-01-17 08:00:03,42655.19000000,42653.82000000,42654.505000000005,42657.848000000005,42659.40717552759,42700.36600000001,42687.97377777779,Under,Under
2024-01-17 08:00:04,42653.81000000,42651.11000000,42652.46,42657.848000000005,42659.40717552759,42700.36600000001,42687.97377777779,Under,Under
2024-01-17 08:00:05,42651.10000000,42651.11000000,42651.104999999996,42657.848000000005,42659.40717552759,42700.36600000001,42687.97377777779,Under,Under
2024-01-17 08:00:06,42651.10000000,42644.35000000,42647.725,42657.848000000005,42659.40717552759,42700.36600000001,42687.97377777779,Under,Under
2024-01-17 08:00:07,42651.10000000,42644.35000000,42647.725,42657.848000000005,42659.40717552759,42700.36600000001,42687.97377777779,Under,Under
2024-01-17 08:00:08,42651.10000000,42651.11000000,42651.104999999996,42657.848000000005,42659.40717552759,42700.36600000001,42687.97377777779,Under,Under
2024-01-17 08:00:09,42652.96000000,42651.11000000,42652.035,42657.848000000005,42659.40717552759,42700.36600000001,42687.97377777779,Under,Under
2024-01-17 08:00:10,42655.19000000,42652.97000000,42654.08,42657.848000000005,42659.40717552759,42700.36600000001,42687.97377777779,Under,Under
2024-01-17 08:00:11,42655.19000000,42655.20000000,42655.195,42657.848000000005,42659.40717552759,42700.36600000001,42687.97377777779,Under,Under
2024-01-17 08:00:12,42655.19000000,42655.20000000,42655.195,42657.848000000005,42659.40717552759,42700.36600000001,42687.97377777779,Under,Under
2024-01-17 08:00:13,42655.19000000,42655.20000000,42655.195,42657.848000000005,42659.40717552759,42700.36600000001,42687.97377777779,Under,Under
2024-01-17 08:00:14,42655.19000000,42655.20000000,42655.195,42657.848000000005,42659.40717552759,42700.36600000001,42687.97377777779,Under,Under
2024-01-17 08:00:15,42655.19000000,42645.19000000,42650.19,42657.848000000005,42659.40717552759,42700.36600000001,42687.97377777779,Under,Under
2024-01-17 08:00:16,42645.18000000,42645.19000000,42645.185,42657.848000000005,42659.40717552759,42700.36600000001,42687.97377777779,Under,Under
2024-01-17 08:00:17,42645.18000000,42645.19000000,42645.185,42657.848000000005,42659.40717552759,42700.36600000001,42687.97377777779,Under,Under
2024-01-17 08:00:18,42645.18000000,42641.35000000,42643.265,42657.848000000005,42659.40717552759,42700.36600000001,42687.97377777779,Under,Under
2024-01-17 08:00:19,42641.34000000,42638.23000000,42639.785,42657.848000000005,42659.40717552759,42700.36600000001,42687.97377777779,Under,Under
2024-01-17 08:00:20,42638.22000000,42638.23000000,42638.225000000006,42657.848000000005,42659.40717552759,42700.36600000001,42687.97377777779,Under,Under
2024-01-17 08:00:21,42638.22000000,42638.23000000,42638.225000000006,42657.848000000005,42659.40717552759,42700.36600000001,42687.97377777779,Under,Under
2024-01-17 08:00:22,42638.22000000,42638.36000000,42638.29,42657.848000000005,42659.40717552759,42700.36600000001,42687.97377777779,Under,Under
2024-01-17 08:00:23,42638.22000000,42638.23000000,42638.225000000006,42657.848000000005,42659.40717552759,42700.36600000001,42687.97377777779,Under,Under
2024-01-17 08:00:24,42638.22000000,42638.23000000,42638.225000000006,42657.848000000005,42659.40717552759,42700.36600000001,42687.97377777779,Under,Under
2024-01-17 08:00:25,42638.22000000,42638.23000000,42638.225000000006,42657.848000000005,42659.40717552759,42700.36600000001,42687.97377777779,Under,Under
2024-01-17 08:00:26,42638.22000000,42638.23000000,42638.225000000006,42657.848000000005,42659.40717552759,42700.36600000001,42687.97377777779,Under,Under
2024-01-17 08:00:27,42638.22000000,42638.23000000,42638.225000000006,42657.848000000005,42659.40717552759,42700.36600000001,42687.97377777779,Under,Under
2024-01-17 08:00:28,42641.34000000,42638.23000000,42639.785,42657.848000000005,42659.40717552759,42700.36600000001,42687.97377777779,Under,Under
2024-01-17 08:00:29,42641.34000000,42641.35000000,42641.345,42657.848000000005,42659.40717552759,42700.36600000001,42687.97377777779,Under,Under
2024-01-17 08:00:30,42641.34000000,42641.35000000,42641.345,42657.848000000005,42659.40717552759,42700.36600000001,42687.97377777779,Under,Under
2024-01-17 08:00:31,42641.34000000,42641.35000000,42641.345,42657.848000000005,42659.40717552759,42700.36600000001,42687.97377777779,Under,Under
2024-01-17 08:00:32,42641.34000000,42641.35000000,42641.345,42657.848000000005,42659.40717552759,42700.36600000001,42687.97377777779,Under,Under
